CODIGO_PRODUTO,GIRO_MEDIO_DIAS,TOTAL_ENTRADAS,GIRO_MEDIO_MESES,CLASSIFICACAO_GIRO,2023,2024,2025,2026,TENDENCIA,TENDENCIA_PERC
CM007793,101.7,11,3.39,BAIXO,12.0,4.0,33.0,0.0,21.0,1.75
CM007840,45.0,2,1.5,ALTO,0.0,0.6666666666666666,0.8333333333333334,0.0,0.8333333333333334,0.8333333333333334
CM007846,43.0,4,1.4333333333333333,ALTO,0.0,10.5,0.0,0.0,0.0,0.0
CM007880,106.0,3,3.533333333333333,BAIXO,1.8333333333333333,0.8333333333333334,0.0,0.0,-1.8333333333333333,-1.0
CM007887,61.0,15,2.033333333333333,MEDIO,1.0833333333333333,3.0,4.666666666666667,0.0,3.583333333333334,3.3076923076923084
CM007899,164.0,6,5.466666666666667,BAIXO,0.25,1.1666666666666667,0.5833333333333334,0.0,0.33333333333333337,1.3333333333333335
CM007914,3.0,2,0.1,ALTO,0.3333333333333333,0.0,0.0,0.0,-0.3333333333333333,-1.0
CM007924,172.66666666666666,7,5.7555555555555555,BAIXO,2.6666666666666665,1.9166666666666667,2.9166666666666665,0.0,0.25,0.09375
CM008033,59.875,17,1.9958333333333333,MEDIO,41.666666666666664,52.5,45.0,0.0,3.3333333333333357,0.08000000000000006
CM008051,117.0,3,3.9,BAIXO,8.333333333333334,16.666666666666668,0.0,0.0,-8.333333333333334,-1.0
CM008070,118.0,3,3.933333333333333,BAIXO,0.3333333333333333,1.0,0.0,0.0,-0.3333333333333333,-1.0
CM008103,121.0,2,4.033333333333333,BAIXO,4.166666666666667,0.0,0.0,0.0,-4.166666666666667,-1.0
CM008116,103.77777777777777,10,3.4592592592592593,BAIXO,73.83333333333333,36.0,31.0,0.0,-42.83333333333333,-0.5801354401805868
CM008126,152.0,2,5.066666666666666,BAIXO,0.0,1.6666666666666667,1.0,0.0,1.0,1.0
CM008136,104.0,2,3.466666666666667,BAIXO,4.25,0.0,0.0,0.0,-4.25,-1.0
CM008163,148.6,6,4.953333333333333,BAIXO,1.25,8.75,1.6666666666666667,0.0,0.41666666666666674,0.33333333333333337
CM008164,165.5,3,5.516666666666667,BAIXO,0.0,1.0,2.6666666666666665,0.0,2.6666666666666665,2.6666666666666665
CM008165,165.5,3,5.516666666666667,BAIXO,0.0,1.0,2.6666666666666665,0.0,2.6666666666666665,2.6666666666666665
CM008185,11.0,2,0.36666666666666664,ALTO,0.0,0.0,1.0,0.0,1.0,1.0
