CODIGO_PRODUTO,2023,2024,2025,TARGET_2025,COMPROU_2023,COMPROU_2024,COMPROU_2025,ANOS_COM_COMPRA,CLASSE_PRODUTO,PREVISAO_MENSAL_2026,PREVISAO_ANUAL_2026,ORIGEM_PREVISAO
CM028889,0.0,0.0833333333333333,0.0833333333333333,0.0833333333333333,0,1,1,2,RECORRENTE,0.0851497135156735,1.021796562188082,MODELO_ML
CM028890,0.0,0.0833333333333333,0.0,0.0,0,1,0,1,EVENTUAL,0.0,0.0,SOB_DEMANDA
CM028891,0.0,0.8333333333333334,0.9166666666666666,0.9166666666666666,0,1,1,2,RECORRENTE,0.9228786070950565,11.074543285140678,MODELO_ML
CM028892,0.0,1.6666666666666667,0.0,0.0,0,1,0,1,EVENTUAL,0.0,0.0,SOB_DEMANDA
CM028893,0.0,1.6666666666666667,0.0,0.0,0,1,0,1,EVENTUAL,0.0,0.0,SOB_DEMANDA
CM028894,0.0,2.0,2.0,2.0,0,1,1,2,RECORRENTE,1.9998770354453013,23.998524425343614,MODELO_ML
CM028913,0.0,8.0,0.0,0.0,0,1,0,1,EVENTUAL,0.0,0.0,SOB_DEMANDA
CM028914,0.0,0.5,0.8333333333333334,0.8333333333333334,0,1,1,2,RECORRENTE,0.8339544829114067,10.00745379493688,MODELO_ML
CM028915,0.0,2.5,0.0,0.0,0,1,0,1,EVENTUAL,0.0,0.0,SOB_DEMANDA
CM028916,0.0,2.5,0.0,0.0,0,1,0,1,EVENTUAL,0.0,0.0,SOB_DEMANDA
CM028917,0.0,2.5,0.0,0.0,0,1,0,1,EVENTUAL,0.0,0.0,SOB_DEMANDA
CM028918,0.0,3.333333333333333,0.0,0.0,0,1,0,1,EVENTUAL,0.0,0.0,SOB_DEMANDA
CM028919,0.0,2.0,0.0,0.0,0,1,0,1,EVENTUAL,0.0,0.0,SOB_DEMANDA
CM028920,0.0,0.0833333333333333,0.0,0.0,0,1,0,1,EVENTUAL,0.0,0.0,SOB_DEMANDA
CM028923,0.0,7.0,4.0,4.0,0,1,1,2,RECORRENTE,3.9961299733691757,47.95355968043011,MODELO_ML
CM028924,0.0,0.5,0.0,0.0,0,1,0,1,EVENTUAL,0.0,0.0,SOB_DEMANDA
CM028925,0.0,2.0,0.0,0.0,0,1,0,1,EVENTUAL,0.0,0.0,SOB_DEMANDA
CM028926,0.0,1.0,0.0,0.0,0,1,0,1,EVENTUAL,0.0,0.0,SOB_DEMANDA
CM028927,0.0,2.5,2.0,2.0,0,1,1,2,RECORRENTE,1.9998770354453013,23.998524425343614,MODELO_ML
CM028928,0.0,2.5,2.0,2.0,0,1,1,2,RECORRENTE,1.9998770354453013,23.998524425343614,MODELO_ML
CM028929,0.0,2.5,2.0,2.0,0,1,1,2,RECORRENTE,1.9998770354453013,23.998524425343614,MODELO_ML
CM028930,0.0,2.5,4.0,4.0,0,1,1,2,RECORRENTE,3.996756706006041,47.961080472072496,MODELO_ML
CM028931,0.0,83.33333333333333,0.0,0.0,0,1,0,1,EVENTUAL,0.0,0.0,SOB_DEMANDA
CM028932,0.0,83.33333333333333,0.0,0.0,0,1,0,1,EVENTUAL,0.0,0.0,SOB_DEMANDA
CM028933,0.0,0.5,0.0,0.0,0,1,0,1,EVENTUAL,0.0,0.0,SOB_DEMANDA
CM028934,0.0,0.5,1.0,1.0,0,1,1,2,RECORRENTE,1.0002738424367552,12.003286109241063,MODELO_ML
CM028935,0.0,1.0,0.0,0.0,0,1,0,1,EVENTUAL,0.0,0.0,SOB_DEMANDA
CM028936,0.0,2.0,0.0,0.0,0,1,0,1,EVENTUAL,0.0,0.0,SOB_DEMANDA
CM028937,0.0,2.0,0.0,0.0,0,1,0,1,EVENTUAL,0.0,0.0,SOB_DEMANDA
CM028938,0.0,1.0,0.0,0.0,0,1,0,1,EVENTUAL,0.0,0.0,SOB_DEMANDA
