RAZAO_FORNECEDOR,avg_lead_time,std_lead_time,recurrence,total_spent,total_products_value,total_discount,discount_rate,avg_item_price,score,rating,classificacao
MEXICHEM BRASIL INDUSTRIA DE TRANSFORMACAO PLASTICA LTDA,7.0,2.8284271247461903,2,1893.27,1893.27,0.0,0.0,5.735333333333333,0.388328095591884,2,Ruim / Não recomendado
MG AUTO PECAS LTDA,0.7142857142857143,1.2535663410560174,7,3222.75,3312.4,89.64999999999999,0.027064967990863126,115.55544444444445,0.42974678672093064,5,Ótimo / Recomendado
MGA HIGIENE PRODUTOS DE LIMPEZA E EPI LTDA,3.0,4.242640687119285,2,3865.8,3865.8,0.0,0.0,35.66153846153846,0.39576995602238696,2,Ruim / Não recomendado
MGM LUBRIFICANTES EIRELI,1.1481481481481481,0.6015175490568515,27,110897.47,110690.8,0.0,0.0,102.45560784313726,0.43299904540885403,5,Ótimo / Recomendado
MICHELAINE STORE LTDA,4.0,0.0,1,1016.4,1016.4,0.0,0.0,101.64,0.39255813956949703,2,Ruim / Não recomendado
MICROPECAS DE METAIS EIRELI-EPP,7.666666666666667,2.081665999466133,3,34274.68,34274.68,0.0,0.0,8.925794392523365,0.38843913686539766,2,Ruim / Não recomendado
MINIPA DO BRASIL LTDA,2.0,0.0,1,2252.32,2122.3,0.0,0.0,110.24666666666667,0.3962790697847485,3,Médio
MINORU MARIO YAMADA EIRELI - ME,1.4,0.8944271909999159,5,7197.2300000000005,7197.2300000000005,233.91,0.03250000346904295,203.20828571428572,0.430380557930911,5,Ótimo / Recomendado
MMVB TECH LTDA,6.0,0.0,1,209.0,209.0,0.0,0.0,209.0,0.3888372093542456,2,Ruim / Não recomendado
MONUMENTAL COMERCIO IMPORTACAOO E DISTRIBUICAO LTDA,1.0,0.0,1,1117.2,1112.2,0.0,0.0,92.68366666666667,0.39813953489237425,3,Médio
MOTO BRASIL PECAS E ACESSORIOS LTDA,1.8695652173913044,1.8660689801653039,23,44759.1,44733.1,0.0,0.0,56.008264705882354,0.4262514687424248,5,Ótimo / Recomendado
MOTORTEM PECAS PARA TRATORES LTDA ME,8.6,5.9833101206606365,5,7689.04,7689.04,0.0,0.0,94.88623684210526,0.3894054054554753,2,Ruim / Não recomendado
MR MOTOPECAS LTDA,5.714285714285714,2.563479777846623,7,8240.490000000002,8240.490000000002,0.0,0.0,106.08159740259741,0.39747687888515226,3,Médio
MULTI BARRAS INDUSTRIA E COMERIO EIRELLI,11.0,2.8284271247461903,2,9606.630000000001,9020.3,0.0,0.0,7.9368181818181816,0.38088623516138104,1,Ruim / Não recomendado
NACAR COMERCIO E IMPORTACAO LTDA,1.0,0.0,1,984.3,984.3,0.0,0.0,492.15,0.39813953489237425,3,Médio
NASA CAMINHOES LTDA,0.0,0.0,3,13485.84,13490.84,5.0,0.0003706218441275249,331.4018181818182,0.40301721581720856,4,Bom
